Ticker,FEDL01 Index,USGG10YR Index,GDP CQOQ INDEX,CPI YOY INDEX,OEUSKLAC Index,OEOTKLAC Index,OEOTGABL Index,NAPMPMI Index
Name,US Federal Funds Effective Rate (continuous series),US Generic Govt 10 Yr,GDP US Chained 2012 Dollars QoQ SAAR,US CPI Urban Consumers YoY NSA,USA OECD Leading Indicators CLI Amplitude Adjusted SA,OECD Total Leading Indicators CLI Amplitude Adjusted SA,OECD Total CPI Total YoY,ISM Manufacturing PMI SA
date,FF_rate,UST10YR_yld,USGDP,USCPI,CLI_USA,CLI_TOTAL,CPI_TOTAL,ISM_PMI
1954-06-30,#N/A N/A,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-01,1.13,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-02,1.25,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-03,1.25,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-04,1.25,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-05,0.88,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-06,0.25,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-07,1,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-08,1.25,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-09,1.25,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-10,1.25,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-11,1.25,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-12,1.25,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-13,1.13,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-14,1.13,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-15,0.75,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-16,0.75,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-17,0.75,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-18,0.75,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-19,0.5,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-20,0.25,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-21,0.25,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-22,0.75,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
1954-07-23,0.75,#N/A N/A,0.4,0.4,#N/A N/A,#N/A N/A,#N/A N/A,52.1
