date,ITUSA3CMD
1850-01-26/1850-02-01,
1850-02-23/1850-03-01,
1850-03-23/1850-03-29,
1850-04-27/1850-05-03,
1850-05-25/1850-05-31,
1850-06-22/1850-06-28,
1850-07-27/1850-08-02,
1850-08-24/1850-08-30,
1850-09-28/1850-10-04,
1850-10-26/1850-11-01,
1850-11-23/1850-11-29,
1850-12-28/1851-01-03,
1851-01-25/1851-01-31,
1851-02-22/1851-02-28,
1851-03-29/1851-04-04,
1851-04-26/1851-05-02,
1851-05-24/1851-05-30,
1851-06-28/1851-07-04,
1851-07-26/1851-08-01,
1851-08-23/1851-08-29,
1851-09-27/1851-10-03,
1851-10-25/1851-10-31,
1851-11-22/1851-11-28,
1851-12-27/1852-01-02,
1852-01-24/1852-01-30,
1852-02-21/1852-02-27,
1852-03-27/1852-04-02,
1852-04-24/1852-04-30,
1852-05-29/1852-06-04,
1852-06-26/1852-07-02,
1852-07-24/1852-07-30,
1852-08-28/1852-09-03,
1852-09-25/1852-10-01,
1852-10-23/1852-10-29,
1852-11-27/1852-12-03,
1852-12-25/1852-12-31,
1853-01-29/1853-02-04,
1853-02-26/1853-03-04,
1853-03-26/1853-04-01,
1853-04-23/1853-04-29,
1853-05-28/1853-06-03,
1853-06-25/1853-07-01,
1853-07-23/1853-07-29,
1853-08-27/1853-09-02,
1853-09-24/1853-09-30,
1853-10-29/1853-11-04,
1853-11-26/1853-12-02,
1853-12-24/1853-12-30,
1854-01-28/1854-02-03,
1854-02-25/1854-03-03,
1854-03-25/1854-03-31,
1854-04-22/1854-04-28,
1854-05-27/1854-06-02,
1854-06-24/1854-06-30,
1854-07-29/1854-08-04,
1854-08-26/1854-09-01,
1854-09-23/1854-09-29,
1854-10-28/1854-11-03,
1854-11-25/1854-12-01,
1854-12-23/1854-12-29,
1854-12-30/1855-01-05,
1855-01-13/1855-01-19,
1855-01-20/1855-01-26,
1855-01-27/1855-02-02,
1855-02-03/1855-02-09,
1855-02-10/1855-02-16,
1855-02-17/1855-02-23,
1855-02-24/1855-03-02,
1855-03-03/1855-03-09,
1855-03-10/1855-03-16,
1855-03-17/1855-03-23,
1855-03-24/1855-03-30,
1855-03-31/1855-04-06,
1855-04-07/1855-04-13,
1855-04-14/1855-04-20,
1855-04-21/1855-04-27,
1855-04-28/1855-05-04,
1855-05-05/1855-05-11,
1855-05-12/1855-05-18,
1855-05-19/1855-05-25,
1855-05-26/1855-06-01,
1855-06-02/1855-06-08,
1855-06-09/1855-06-15,
1855-06-16/1855-06-22,
1855-06-23/1855-06-29,
1855-06-30/1855-07-06,
1855-07-07/1855-07-13,
1855-07-14/1855-07-20,
1855-07-21/1855-07-27,
1855-07-28/1855-08-03,
1855-08-04/1855-08-10,
1855-08-11/1855-08-17,
1855-08-18/1855-08-24,
1855-08-25/1855-08-31,
1855-09-01/1855-09-07,
1855-09-08/1855-09-14,
1855-09-15/1855-09-21,
1855-09-22/1855-09-28,
1855-09-29/1855-10-05,
1855-10-06/1855-10-12,
1855-10-13/1855-10-19,
1855-10-20/1855-10-26,
1855-10-27/1855-11-02,
1855-11-03/1855-11-09,
1855-11-10/1855-11-16,
1855-11-17/1855-11-23,
1855-11-24/1855-11-30,
1855-12-01/1855-12-07,
1855-12-08/1855-12-14,
1855-12-15/1855-12-21,
1855-12-22/1855-12-28,
1855-12-29/1856-01-04,
1856-01-05/1856-01-11,
1856-01-12/1856-01-18,
1856-01-19/1856-01-25,
1856-01-26/1856-02-01,
1856-02-02/1856-02-08,
1856-02-09/1856-02-15,
1856-02-16/1856-02-22,
1856-02-23/1856-02-29,
1856-03-01/1856-03-07,
1856-03-08/1856-03-14,
1856-03-15/1856-03-21,
1856-03-22/1856-03-28,
1856-03-29/1856-04-04,
1856-04-05/1856-04-11,
1856-04-12/1856-04-18,
1856-04-19/1856-04-25,
1856-04-26/1856-05-02,
1856-05-03/1856-05-09,
1856-05-10/1856-05-16,
1856-05-17/1856-05-23,
1856-05-24/1856-05-30,
1856-05-31/1856-06-06,
1856-06-07/1856-06-13,
1856-06-14/1856-06-20,
1856-06-21/1856-06-27,
1856-06-28/1856-07-04,
1856-07-05/1856-07-11,
1856-07-12/1856-07-18,
1856-07-19/1856-07-25,
1856-07-26/1856-08-01,
1856-08-02/1856-08-08,
1856-08-09/1856-08-15,
1856-08-16/1856-08-22,
1856-08-23/1856-08-29,
1856-08-30/1856-09-05,
1856-09-06/1856-09-12,
1856-09-13/1856-09-19,
1856-09-20/1856-09-26,
1856-09-27/1856-10-03,
1856-10-04/1856-10-10,
1856-10-11/1856-10-17,
1856-10-18/1856-10-24,
1856-10-25/1856-10-31,
1856-11-01/1856-11-07,
1856-11-08/1856-11-14,
1856-11-15/1856-11-21,
1856-11-22/1856-11-28,
1856-11-29/1856-12-05,
1856-12-06/1856-12-12,
1856-12-13/1856-12-19,
1856-12-20/1856-12-26,
1856-12-27/1857-01-02,
1857-01-03/1857-01-09,
1857-01-10/1857-01-16,
1857-01-17/1857-01-23,
1857-01-24/1857-01-30,
1857-01-31/1857-02-06,
1857-02-07/1857-02-13,
1857-02-14/1857-02-20,
1857-02-21/1857-02-27,
1857-02-28/1857-03-06,
1857-03-07/1857-03-13,
1857-03-14/1857-03-20,
1857-03-21/1857-03-27,
1857-03-28/1857-04-03,
1857-04-04/1857-04-10,
1857-04-11/1857-04-17,
1857-04-18/1857-04-24,
1857-04-25/1857-05-01,
1857-05-02/1857-05-08,
1857-05-09/1857-05-15,
1857-05-16/1857-05-22,
1857-05-23/1857-05-29,
1857-05-30/1857-06-05,
1857-06-06/1857-06-12,
1857-06-13/1857-06-19,
1857-06-20/1857-06-26,
1857-06-27/1857-07-03,
1857-07-04/1857-07-10,
1857-07-11/1857-07-17,
1857-07-18/1857-07-24,
1857-07-25/1857-07-31,
1857-08-01/1857-08-07,
1857-08-08/1857-08-14,
1857-08-15/1857-08-21,
1857-08-22/1857-08-28,
1857-08-29/1857-09-04,
1857-09-05/1857-09-11,
1857-09-12/1857-09-18,
1857-09-19/1857-09-25,
1857-09-26/1857-10-02,
1857-10-03/1857-10-09,
1857-10-10/1857-10-16,
1857-10-17/1857-10-23,
1857-10-24/1857-10-30,
1857-10-31/1857-11-06,
1857-11-07/1857-11-13,
1857-11-14/1857-11-20,
1857-11-21/1857-11-27,
1857-11-28/1857-12-04,
1857-12-05/1857-12-11,
1857-12-12/1857-12-18,
1857-12-19/1857-12-25,
1857-12-26/1858-01-01,
1858-01-02/1858-01-08,
1858-01-09/1858-01-15,
1858-01-16/1858-01-22,
1858-01-23/1858-01-29,
1858-01-30/1858-02-05,
1858-02-06/1858-02-12,
1858-02-13/1858-02-19,
1858-02-20/1858-02-26,
1858-02-27/1858-03-05,
1858-03-06/1858-03-12,
1858-03-13/1858-03-19,
1858-03-20/1858-03-26,
1858-03-27/1858-04-02,
1858-04-03/1858-04-09,
1858-04-10/1858-04-16,
1858-04-17/1858-04-23,
1858-04-24/1858-04-30,
1858-05-01/1858-05-07,
1858-05-08/1858-05-14,
1858-05-15/1858-05-21,
1858-05-22/1858-05-28,
1858-05-29/1858-06-04,
1858-06-05/1858-06-11,
1858-06-12/1858-06-18,
1858-06-19/1858-06-25,
1858-06-26/1858-07-02,
1858-07-03/1858-07-09,
