date,TBILL_idx
1991-12,100.41
1992-01,100.76
1992-02,101.06
1992-03,101.39
1992-04,101.78
1992-05,102.1
1992-06,102.43
1992-07,102.78
1992-08,103.07
1992-09,103.38
1992-10,103.62
1992-11,103.85
1992-12,104.17
1993-01,104.46
1993-02,104.7
1993-03,104.97
1993-04,105.22
1993-05,105.48
1993-06,105.76
1993-07,106.04
1993-08,106.31
1993-09,106.6
1993-10,106.87
1993-11,107.13
1993-12,107.44
1994-01,107.72
1994-02,107.96
1994-03,108.25
1994-04,108.55
1994-05,108.89
1994-06,109.29
1994-07,109.67
1994-08,110.04
1994-09,110.45
1994-10,110.9
1994-11,111.32
1994-12,111.87
1995-01,112.38
1995-02,112.9
1995-03,113.45
1995-04,114.0
1995-05,114.57
1995-06,115.14
1995-07,115.68
1995-08,116.23
1995-09,116.75
1995-10,117.3
1995-11,117.81
1995-12,118.42
1996-01,118.92
1996-02,119.39
1996-03,119.88
1996-04,120.4
1996-05,120.92
1996-06,121.45
1996-07,121.97
1996-08,122.52
1996-09,123.07
1996-10,123.59
1996-11,124.12
1996-12,124.66
1997-01,125.2
1997-02,125.68
1997-03,126.22
1997-04,126.81
1997-05,127.41
1997-06,127.87
1997-07,128.44
1997-08,129.02
1997-09,129.61
1997-10,130.15
1997-11,130.7
1997-12,131.3
1998-01,131.9
1998-02,132.4
1998-03,133.0
1998-04,133.61
1998-05,134.19
1998-06,134.72
1998-07,135.31
1998-08,135.9
1998-09,136.54
1998-10,137.04
1998-11,137.51
1998-12,138.03
1999-01,138.56
1999-02,139.02
1999-03,139.56
1999-04,140.08
1999-05,140.62
1999-06,141.16
1999-07,141.72
1999-08,142.28
1999-09,142.86
1999-10,143.44
1999-11,144.0
1999-12,144.66
2000-01,145.28
2000-02,145.91
2000-03,146.61
2000-04,147.35
2000-05,148.12
2000-06,148.76
2000-07,149.45
2000-08,150.22
2000-09,151.02
2000-10,151.8
2000-11,152.6
2000-12,153.46
2001-01,154.32
2001-02,154.9
2001-03,155.6
2001-04,156.23
2001-05,156.77
2001-06,157.24
2001-07,157.72
2001-08,158.21
2001-09,158.79
2001-10,159.14
2001-11,159.45
2001-12,159.7
2002-01,159.94
2002-02,160.14
2002-03,160.38
2002-04,160.62
2002-05,160.86
2002-06,161.09
2002-07,161.32
2002-08,161.55
2002-09,161.79
2002-10,162.02
2002-11,162.25
2002-12,162.42
2003-01,162.58
2003-02,162.72
2003-03,162.89
2003-04,163.04
2003-05,163.2
2003-06,163.38
2003-07,163.49
2003-08,163.62
2003-09,163.76
2003-10,163.88
2003-11,164.01
2003-12,164.09
2004-01,164.21
2004-02,164.33
2004-03,164.46
2004-04,164.59
2004-05,164.72
2004-06,164.83
2004-07,164.99
2004-08,165.17
2004-09,165.37
2004-10,165.57
2004-11,165.8
2004-12,166.12
2005-01,166.4
2005-02,166.67
2005-03,167.05
2005-04,167.42
2005-05,167.82
2005-06,168.2
2005-07,168.61
2005-08,169.08
2005-09,169.58
2005-10,170.03
2005-11,170.55
2005-12,171.1
2006-01,171.65
2006-02,172.2
2006-03,172.86
2006-04,173.51
2006-05,174.2
2006-06,174.89
2006-07,175.6
2006-08,176.35
2006-09,177.12
2006-10,177.81
2006-11,178.55
2006-12,179.32
2007-01,180.06
2007-02,180.74
2007-03,181.55
2007-04,182.33
2007-05,183.1
2007-06,183.83
2007-07,184.53
2007-08,185.44
2007-09,186.09
2007-10,186.65
2007-11,187.37
2007-12,187.89
2008-01,188.6
2008-02,188.85
2008-03,189.25
2008-04,189.47
2008-05,189.58
2008-06,189.91
2008-07,190.23
2008-08,190.49
2008-09,190.86
2008-10,191.09
2008-11,191.21
2008-12,191.22
2009-01,191.21
2009-02,191.25
2009-03,191.29
2009-04,191.34
2009-05,191.35
2009-06,191.37
2009-07,191.4
2009-08,191.44
2009-09,191.47
2009-10,191.49
2009-11,191.5
2009-12,191.5
2010-01,191.52
2010-02,191.52
2010-03,191.53
2010-04,191.55
2010-05,191.58
2010-06,191.6
2010-07,191.64
2010-08,191.66
2010-09,191.68
2010-10,191.7
2010-11,191.72
2010-12,191.76
2011-01,191.77
2011-02,191.8
2011-03,191.83
2011-04,191.85
2011-05,191.86
2011-06,191.87
2011-07,191.86
2011-08,191.88
2011-09,191.88
2011-10,191.89
2011-11,191.89
2011-12,191.89
2012-01,191.89
2012-02,191.89
2012-03,191.91
2012-04,191.92
2012-05,191.94
2012-06,191.95
2012-07,191.96
2012-08,191.97
2012-09,191.99
2012-10,192.0
2012-11,192.02
2012-12,192.04
2013-01,192.04
2013-02,192.04
2013-03,192.07
2013-04,192.08
2013-05,192.09
2013-06,192.09
2013-07,192.1
2013-08,192.11
2013-09,192.11
2013-10,192.11
2013-11,192.12
2013-12,192.13
2014-01,192.13
2014-02,192.14
2014-03,192.15
2014-04,192.15
2014-05,192.15
2014-06,192.16
2014-07,192.17
2014-08,192.17
2014-09,192.17
2014-10,192.18
2014-11,192.18
2014-12,192.18
2015-01,192.18
2015-02,192.18
2015-03,192.18
2015-04,192.19
2015-05,192.19
2015-06,192.19
2015-07,192.19
2015-08,192.2
2015-09,192.2
2015-10,192.2
2015-11,192.2
2015-12,192.23
2016-01,192.23
2016-02,192.28
2016-03,192.35
2016-04,192.38
2016-05,192.4
2016-06,192.45
2016-07,192.49
2016-08,192.54
2016-09,192.6
2016-10,192.64
2016-11,192.67
2016-12,192.73
2017-01,192.81
2017-02,192.89
2017-03,192.93
2017-04,193.05
2017-05,193.16
2017-06,193.31
2017-07,193.46
2017-08,193.63
2017-09,193.8
2017-10,193.96
2017-11,194.12
2017-12,194.3
2018-01,194.52
2018-02,194.7
2018-03,194.95
2018-04,195.22
2018-05,195.5
2018-06,195.81
2018-07,196.12
2018-08,196.43
2018-09,196.75
2018-10,197.11
2018-11,197.47
2018-12,197.85
2019-01,198.25
2019-02,198.61
2019-03,199.02
2019-04,199.41
2019-05,199.83
2019-06,200.25
2019-07,200.62
2019-08,200.98
2019-09,201.33
2019-10,201.68
2019-11,201.93
2019-12,202.22
2020-01,202.47
2020-02,202.74
2020-03,203.16
2020-04,203.17
2020-05,203.18
2020-06,203.2
2020-07,203.23
2020-08,203.25
2020-09,203.27
