,date
0,1786-07-29/1786-08-04
1,1786-08-26/1786-09-01
2,1786-09-23/1786-09-29
3,1786-10-28/1786-11-03
4,1786-11-25/1786-12-01
5,1786-12-30/1787-01-05
6,1787-01-27/1787-02-02
7,1787-02-24/1787-03-02
8,1787-03-24/1787-03-30
9,1787-04-28/1787-05-04
10,1787-05-26/1787-06-01
11,1787-06-23/1787-06-29
12,1787-07-28/1787-08-03
13,1787-08-25/1787-08-31
14,1787-09-29/1787-10-05
15,1787-10-27/1787-11-02
16,1787-11-24/1787-11-30
17,1787-12-29/1788-01-04
18,1788-01-26/1788-02-01
19,1788-02-23/1788-02-29
20,1788-03-29/1788-04-04
21,1788-04-26/1788-05-02
22,1788-05-24/1788-05-30
23,1788-06-28/1788-07-04
24,1788-07-26/1788-08-01
25,1788-08-30/1788-09-05
26,1788-09-27/1788-10-03
27,1788-10-25/1788-10-31
28,1788-11-29/1788-12-05
29,1788-12-27/1789-01-02
30,1789-01-24/1789-01-30
31,1789-02-21/1789-02-27
32,1789-03-28/1789-04-03
33,1789-04-25/1789-05-01
34,1789-05-30/1789-06-05
35,1789-06-27/1789-07-03
36,1789-07-25/1789-07-31
37,1789-08-29/1789-09-04
38,1789-09-26/1789-10-02
39,1789-10-24/1789-10-30
40,1789-11-28/1789-12-04
41,1789-12-26/1790-01-01
42,1790-01-30/1790-02-05
43,1790-02-27/1790-03-05
44,1790-03-27/1790-04-02
45,1790-04-24/1790-04-30
46,1790-05-29/1790-06-04
47,1790-06-26/1790-07-02
48,1790-07-24/1790-07-30
49,1790-08-28/1790-09-03
50,1790-09-25/1790-10-01
51,1790-10-30/1790-11-05
52,1790-11-27/1790-12-03
53,1790-12-25/1790-12-31
54,1791-01-29/1791-02-04
55,1791-02-26/1791-03-04
56,1791-03-26/1791-04-01
57,1791-04-23/1791-04-29
58,1791-05-28/1791-06-03
59,1791-06-25/1791-07-01
60,1791-07-30/1791-08-05
61,1791-08-27/1791-09-02
62,1791-09-24/1791-09-30
63,1791-10-29/1791-11-04
64,1791-11-26/1791-12-02
65,1791-12-24/1791-12-30
66,1792-01-28/1792-02-03
67,1792-02-25/1792-03-02
68,1792-03-24/1792-03-30
69,1792-04-28/1792-05-04
70,1792-05-26/1792-06-01
71,1792-06-23/1792-06-29
72,1792-07-28/1792-08-03
73,1792-08-25/1792-08-31
74,1792-09-29/1792-10-05
75,1792-10-27/1792-11-02
76,1792-11-24/1792-11-30
77,1792-12-29/1793-01-04
78,1793-01-26/1793-02-01
79,1793-02-23/1793-03-01
80,1793-03-30/1793-04-05
81,1793-04-27/1793-05-03
82,1793-05-25/1793-05-31
83,1793-06-29/1793-07-05
84,1793-07-27/1793-08-02
85,1793-08-24/1793-08-30
86,1793-09-28/1793-10-04
87,1793-10-26/1793-11-01
88,1793-11-23/1793-11-29
89,1793-12-28/1794-01-03
90,1794-01-25/1794-01-31
91,1794-02-22/1794-02-28
92,1794-03-29/1794-04-04
93,1794-04-26/1794-05-02
94,1794-05-24/1794-05-30
95,1794-06-28/1794-07-04
96,1794-07-26/1794-08-01
97,1794-08-30/1794-09-05
98,1794-09-27/1794-10-03
99,1794-10-25/1794-10-31
100,1794-11-29/1794-12-05
101,1794-12-27/1795-01-02
102,1795-01-24/1795-01-30
103,1795-02-21/1795-02-27
104,1795-03-28/1795-04-03
105,1795-04-25/1795-05-01
106,1795-05-30/1795-06-05
107,1795-06-27/1795-07-03
108,1795-07-25/1795-07-31
109,1795-08-29/1795-09-04
110,1795-09-26/1795-10-02
111,1795-10-24/1795-10-30
112,1795-11-28/1795-12-04
113,1795-12-26/1796-01-01
114,1796-01-30/1796-02-05
115,1796-02-27/1796-03-04
116,1796-03-26/1796-04-01
117,1796-04-23/1796-04-29
118,1796-05-28/1796-06-03
119,1796-06-25/1796-07-01
120,1796-07-30/1796-08-05
121,1796-08-27/1796-09-02
122,1796-09-24/1796-09-30
123,1796-10-29/1796-11-04
124,1796-11-26/1796-12-02
125,1796-12-24/1796-12-30
126,1797-01-28/1797-02-03
127,1797-02-25/1797-03-03
128,1797-03-25/1797-03-31
129,1797-04-29/1797-05-05
130,1797-05-27/1797-06-02
131,1797-06-24/1797-06-30
132,1797-07-29/1797-08-04
133,1797-08-26/1797-09-01
134,1797-09-23/1797-09-29
135,1797-10-28/1797-11-03
136,1797-11-25/1797-12-01
137,1797-12-30/1798-01-05
138,1798-01-27/1798-02-02
139,1798-02-24/1798-03-02
140,1798-03-24/1798-03-30
141,1798-04-28/1798-05-04
142,1798-05-26/1798-06-01
143,1798-06-23/1798-06-29
144,1798-07-28/1798-08-03
145,1798-08-25/1798-08-31
146,1798-09-29/1798-10-05
147,1798-10-27/1798-11-02
148,1798-11-24/1798-11-30
149,1798-12-29/1799-01-04
150,1799-01-26/1799-02-01
151,1799-02-23/1799-03-01
152,1799-03-30/1799-04-05
153,1799-04-27/1799-05-03
154,1799-05-25/1799-05-31
155,1799-06-29/1799-07-05
156,1799-07-27/1799-08-02
157,1799-08-24/1799-08-30
158,1799-09-28/1799-10-04
159,1799-10-26/1799-11-01
160,1799-11-23/1799-11-29
161,1799-12-28/1800-01-03
162,1800-01-25/1800-01-31
163,1800-02-22/1800-02-28
164,1800-03-29/1800-04-04
165,1800-04-26/1800-05-02
166,1800-05-24/1800-05-30
167,1800-06-28/1800-07-04
168,1800-07-26/1800-08-01
169,1800-08-30/1800-09-05
170,1800-09-27/1800-10-03
171,1800-10-25/1800-10-31
172,1800-11-29/1800-12-05
173,1800-12-27/1801-01-02
174,1801-01-24/1801-01-30
175,1801-02-21/1801-02-27
176,1801-03-28/1801-04-03
177,1801-04-25/1801-05-01
178,1801-05-30/1801-06-05
179,1801-06-27/1801-07-03
180,1801-07-25/1801-07-31
181,1801-08-29/1801-09-04
182,1801-09-26/1801-10-02
183,1801-10-24/1801-10-30
184,1801-11-28/1801-12-04
185,1801-12-26/1802-01-01
186,1802-01-30/1802-02-05
187,1802-02-27/1802-03-05
188,1802-03-27/1802-04-02
189,1802-04-24/1802-04-30
190,1802-05-29/1802-06-04
191,1802-06-26/1802-07-02
192,1802-07-24/1802-07-30
193,1802-08-28/1802-09-03
194,1802-09-25/1802-10-01
195,1802-10-30/1802-11-05
196,1802-11-27/1802-12-03
197,1802-12-25/1802-12-31
198,1803-01-29/1803-02-04
199,1803-02-26/1803-03-04
200,1803-03-26/1803-04-01
201,1803-04-23/1803-04-29
202,1803-05-28/1803-06-03
203,1803-06-25/1803-07-01
204,1803-07-30/1803-08-05
205,1803-08-27/1803-09-02
206,1803-09-24/1803-09-30
207,1803-10-29/1803-11-04
208,1803-11-26/1803-12-02
209,1803-12-24/1803-12-30
210,1804-01-28/1804-02-03
211,1804-02-25/1804-03-02
212,1804-03-24/1804-03-30
213,1804-04-28/1804-05-04
214,1804-05-26/1804-06-01
215,1804-06-23/1804-06-29
216,1804-07-28/1804-08-03
217,1804-08-25/1804-08-31
218,1804-09-29/1804-10-05
219,1804-10-27/1804-11-02
220,1804-11-24/1804-11-30
221,1804-12-29/1805-01-04
222,1805-01-26/1805-02-01
223,1805-02-23/1805-03-01
224,1805-03-30/1805-04-05
225,1805-04-27/1805-05-03
226,1805-05-25/1805-05-31
227,1805-06-29/1805-07-05
228,1805-07-27/1805-08-02
229,1805-08-24/1805-08-30
230,1805-09-28/1805-10-04
231,1805-10-26/1805-11-01
232,1805-11-23/1805-11-29
233,1805-12-28/1806-01-03
234,1806-01-25/1806-01-31
235,1806-02-22/1806-02-28
236,1806-03-29/1806-04-04
237,1806-04-26/1806-05-02
238,1806-05-24/1806-05-30
239,1806-06-28/1806-07-04
240,1806-07-26/1806-08-01
241,1806-08-30/1806-09-05
242,1806-09-27/1806-10-03
243,1806-10-25/1806-10-31
244,1806-11-29/1806-12-05
245,1806-12-27/1807-01-02
246,1807-01-24/1807-01-30
247,1807-02-21/1807-02-27
248,1807-03-28/1807-04-03
249,1807-04-25/1807-05-01
250,1807-05-30/1807-06-05
251,1807-06-27/1807-07-03
252,1807-07-25/1807-07-31
253,1807-08-29/1807-09-04
254,1807-09-26/1807-10-02
255,1807-10-24/1807-10-30
256,1807-11-28/1807-12-04
257,1807-12-26/1808-01-01
258,1808-01-30/1808-02-05
259,1808-02-27/1808-03-04
260,1808-03-26/1808-04-01
261,1808-04-23/1808-04-29
262,1808-05-28/1808-06-03
263,1808-06-25/1808-07-01
264,1808-07-30/1808-08-05
265,1808-08-27/1808-09-02
266,1808-09-24/1808-09-30
267,1808-10-29/1808-11-04
268,1808-11-26/1808-12-02
269,1808-12-24/1808-12-30
270,1809-01-28/1809-02-03
271,1809-02-25/1809-03-03
272,1809-03-25/1809-03-31
273,1809-04-29/1809-05-05
274,1809-05-27/1809-06-02
275,1809-06-24/1809-06-30
276,1809-07-29/1809-08-04
277,1809-08-26/1809-09-01
278,1809-09-23/1809-09-29
279,1809-10-28/1809-11-03
280,1809-11-25/1809-12-01
281,1809-12-30/1810-01-05
282,1810-01-27/1810-02-02
283,1810-02-24/1810-03-02
284,1810-03-24/1810-03-30
285,1810-04-28/1810-05-04
286,1810-05-26/1810-06-01
287,1810-06-23/1810-06-29
288,1810-07-28/1810-08-03
289,1810-08-25/1810-08-31
290,1810-09-29/1810-10-05
291,1810-10-27/1810-11-02
292,1810-11-24/1810-11-30
293,1810-12-29/1811-01-04
294,1811-01-26/1811-02-01
295,1811-02-23/1811-03-01
296,1811-03-30/1811-04-05
297,1811-04-27/1811-05-03
298,1811-05-25/1811-05-31
299,1811-06-29/1811-07-05
300,1811-07-27/1811-08-02
301,1811-08-24/1811-08-30
302,1811-09-28/1811-10-04
303,1811-10-26/1811-11-01
304,1811-11-23/1811-11-29
305,1811-12-28/1812-01-03
306,1812-01-25/1812-01-31
307,1812-02-22/1812-02-28
308,1812-03-28/1812-04-03
309,1812-04-25/1812-05-01
310,1812-05-30/1812-06-05
311,1812-06-27/1812-07-03
312,1812-07-25/1812-07-31
313,1812-08-29/1812-09-04
314,1812-09-26/1812-10-02
315,1812-10-24/1812-10-30
316,1812-11-28/1812-12-04
317,1812-12-26/1813-01-01
318,1813-01-30/1813-02-05
319,1813-02-27/1813-03-05
320,1813-03-27/1813-04-02
321,1813-04-24/1813-04-30
322,1813-05-29/1813-06-04
323,1813-06-26/1813-07-02
324,1813-07-24/1813-07-30
325,1813-08-28/1813-09-03
326,1813-09-25/1813-10-01
327,1813-10-30/1813-11-05
328,1813-11-27/1813-12-03
329,1813-12-25/1813-12-31
330,1814-01-29/1814-02-04
331,1814-02-26/1814-03-04
332,1814-03-26/1814-04-01
333,1814-04-23/1814-04-29
334,1814-05-28/1814-06-03
335,1814-06-25/1814-07-01
336,1814-07-30/1814-08-05
337,1814-08-27/1814-09-02
338,1814-09-24/1814-09-30
339,1814-10-29/1814-11-04
340,1814-11-26/1814-12-02
341,1814-12-24/1814-12-30
342,1815-01-28/1815-02-03
343,1815-02-25/1815-03-03
344,1815-03-25/1815-03-31
345,1815-04-29/1815-05-05
346,1815-05-27/1815-06-02
347,1815-06-24/1815-06-30
348,1815-07-29/1815-08-04
349,1815-08-26/1815-09-01
350,1815-09-23/1815-09-29
351,1815-10-28/1815-11-03
352,1815-11-25/1815-12-01
353,1815-12-30/1816-01-05
354,1816-01-27/1816-02-02
355,1816-02-24/1816-03-01
356,1816-03-30/1816-04-05
357,1816-04-27/1816-05-03
358,1816-05-25/1816-05-31
359,1816-06-29/1816-07-05
360,1816-07-27/1816-08-02
361,1816-08-24/1816-08-30
362,1816-09-28/1816-10-04
363,1816-10-26/1816-11-01
364,1816-11-23/1816-11-29
365,1816-12-28/1817-01-03
366,1817-01-25/1817-01-31
367,1817-02-22/1817-02-28
368,1817-03-29/1817-04-04
369,1817-04-26/1817-05-02
370,1817-05-24/1817-05-30
371,1817-06-28/1817-07-04
372,1817-07-26/1817-08-01
373,1817-08-30/1817-09-05
374,1817-09-27/1817-10-03
375,1817-10-25/1817-10-31
376,1817-11-29/1817-12-05
377,1817-12-27/1818-01-02
378,1818-01-24/1818-01-30
379,1818-02-21/1818-02-27
380,1818-03-28/1818-04-03
381,1818-04-25/1818-05-01
382,1818-05-30/1818-06-05
383,1818-06-27/1818-07-03
384,1818-07-25/1818-07-31
385,1818-08-29/1818-09-04
386,1818-09-26/1818-10-02
387,1818-10-24/1818-10-30
388,1818-11-28/1818-12-04
389,1818-12-26/1819-01-01
390,1819-01-30/1819-02-05
391,1819-02-27/1819-03-05
392,1819-03-27/1819-04-02
393,1819-04-24/1819-04-30
394,1819-05-29/1819-06-04
395,1819-06-26/1819-07-02
396,1819-07-24/1819-07-30
397,1819-08-28/1819-09-03
398,1819-09-25/1819-10-01
399,1819-10-30/1819-11-05
400,1819-11-27/1819-12-03
401,1819-12-25/1819-12-31
402,1820-01-29/1820-02-04
403,1820-02-26/1820-03-03
404,1820-03-25/1820-03-31
405,1820-04-29/1820-05-05
406,1820-05-27/1820-06-02
407,1820-06-24/1820-06-30
408,1820-07-29/1820-08-04
409,1820-08-26/1820-09-01
410,1820-09-23/1820-09-29
411,1820-10-28/1820-11-03
412,1820-11-25/1820-12-01
413,1820-12-30/1821-01-05
414,1821-01-27/1821-02-02
415,1821-02-24/1821-03-02
416,1821-03-24/1821-03-30
417,1821-04-28/1821-05-04
418,1821-05-26/1821-06-01
419,1821-06-23/1821-06-29
420,1821-07-28/1821-08-03
421,1821-08-25/1821-08-31
422,1821-09-29/1821-10-05
423,1821-10-27/1821-11-02
424,1821-11-24/1821-11-30
425,1821-12-29/1822-01-04
426,1822-01-26/1822-02-01
427,1822-02-23/1822-03-01
428,1822-03-30/1822-04-05
429,1822-04-27/1822-05-03
430,1822-05-25/1822-05-31
431,1822-06-29/1822-07-05
432,1822-07-27/1822-08-02
433,1822-08-24/1822-08-30
434,1822-09-28/1822-10-04
435,1822-10-26/1822-11-01
436,1822-11-23/1822-11-29
437,1822-12-28/1823-01-03
438,1823-01-25/1823-01-31
439,1823-02-22/1823-02-28
440,1823-03-29/1823-04-04
441,1823-04-26/1823-05-02
442,1823-05-24/1823-05-30
443,1823-06-28/1823-07-04
444,1823-07-26/1823-08-01
445,1823-08-30/1823-09-05
446,1823-09-27/1823-10-03
447,1823-10-25/1823-10-31
448,1823-11-29/1823-12-05
449,1823-12-27/1824-01-02
450,1824-01-24/1824-01-30
451,1824-02-28/1824-03-05
452,1824-03-27/1824-04-02
453,1824-04-24/1824-04-30
454,1824-05-29/1824-06-04
455,1824-06-26/1824-07-02
456,1824-07-24/1824-07-30
457,1824-08-28/1824-09-03
458,1824-09-25/1824-10-01
459,1824-10-30/1824-11-05
460,1824-11-27/1824-12-03
461,1824-12-25/1824-12-31
462,1825-01-29/1825-02-04
463,1825-02-26/1825-03-04
464,1825-03-26/1825-04-01
465,1825-04-23/1825-04-29
466,1825-05-28/1825-06-03
467,1825-06-25/1825-07-01
468,1825-07-30/1825-08-05
469,1825-08-27/1825-09-02
470,1825-09-24/1825-09-30
471,1825-10-29/1825-11-04
472,1825-11-26/1825-12-02
473,1825-12-24/1825-12-30
474,1826-01-28/1826-02-03
475,1826-02-25/1826-03-03
476,1826-03-25/1826-03-31
477,1826-04-29/1826-05-05
478,1826-05-27/1826-06-02
479,1826-06-24/1826-06-30
480,1826-07-29/1826-08-04
481,1826-08-26/1826-09-01
482,1826-09-23/1826-09-29
483,1826-10-28/1826-11-03
484,1826-11-25/1826-12-01
485,1826-12-30/1827-01-05
486,1827-01-27/1827-02-02
487,1827-02-24/1827-03-02
488,1827-03-24/1827-03-30
489,1827-04-28/1827-05-04
490,1827-05-26/1827-06-01
491,1827-06-23/1827-06-29
492,1827-07-28/1827-08-03
493,1827-08-25/1827-08-31
494,1827-09-29/1827-10-05
495,1827-10-27/1827-11-02
496,1827-11-24/1827-11-30
497,1827-12-29/1828-01-04
498,1828-01-26/1828-02-01
499,1828-02-23/1828-02-29
500,1828-03-29/1828-04-04
501,1828-04-26/1828-05-02
502,1828-05-24/1828-05-30
503,1828-06-28/1828-07-04
504,1828-07-26/1828-08-01
505,1828-08-30/1828-09-05
506,1828-09-27/1828-10-03
507,1828-10-25/1828-10-31
508,1828-11-29/1828-12-05
509,1828-12-27/1829-01-02
510,1829-01-24/1829-01-30
511,1829-02-21/1829-02-27
512,1829-03-28/1829-04-03
513,1829-04-25/1829-05-01
514,1829-05-30/1829-06-05
515,1829-06-27/1829-07-03
516,1829-07-25/1829-07-31
517,1829-08-29/1829-09-04
518,1829-09-26/1829-10-02
519,1829-10-24/1829-10-30
520,1829-11-28/1829-12-04
521,1829-12-26/1830-01-01
522,1830-01-30/1830-02-05
523,1830-02-27/1830-03-05
524,1830-03-27/1830-04-02
525,1830-04-24/1830-04-30
526,1830-05-29/1830-06-04
527,1830-06-26/1830-07-02
528,1830-07-24/1830-07-30
529,1830-08-28/1830-09-03
530,1830-09-25/1830-10-01
531,1830-10-30/1830-11-05
532,1830-11-27/1830-12-03
533,1830-12-25/1830-12-31
534,1831-01-29/1831-02-04
535,1831-02-26/1831-03-04
536,1831-03-26/1831-04-01
537,1831-04-23/1831-04-29
538,1831-05-28/1831-06-03
539,1831-06-25/1831-07-01
540,1831-07-30/1831-08-05
541,1831-08-27/1831-09-02
542,1831-09-24/1831-09-30
543,1831-10-29/1831-11-04
544,1831-11-26/1831-12-02
545,1831-12-24/1831-12-30
546,1832-01-28/1832-02-03
547,1832-02-25/1832-03-02
548,1832-03-24/1832-03-30
549,1832-04-28/1832-05-04
550,1832-05-26/1832-06-01
551,1832-06-23/1832-06-29
552,1832-07-28/1832-08-03
553,1832-08-25/1832-08-31
554,1832-09-29/1832-10-05
555,1832-10-27/1832-11-02
556,1832-11-24/1832-11-30
557,1832-12-29/1833-01-04
558,1833-01-26/1833-02-01
559,1833-02-23/1833-03-01
560,1833-03-30/1833-04-05
561,1833-04-27/1833-05-03
562,1833-05-25/1833-05-31
563,1833-06-29/1833-07-05
564,1833-07-27/1833-08-02
565,1833-08-24/1833-08-30
566,1833-09-28/1833-10-04
567,1833-10-26/1833-11-01
568,1833-11-23/1833-11-29
569,1833-12-28/1834-01-03
570,1834-01-25/1834-01-31
571,1834-02-22/1834-02-28
572,1834-03-29/1834-04-04
573,1834-04-26/1834-05-02
574,1834-05-24/1834-05-30
575,1834-06-28/1834-07-04
576,1834-07-26/1834-08-01
577,1834-08-30/1834-09-05
578,1834-09-27/1834-10-03
579,1834-10-25/1834-10-31
580,1834-11-29/1834-12-05
581,1834-12-27/1835-01-02
582,1835-01-24/1835-01-30
583,1835-02-21/1835-02-27
584,1835-03-28/1835-04-03
585,1835-04-25/1835-05-01
586,1835-05-30/1835-06-05
587,1835-06-27/1835-07-03
588,1835-07-25/1835-07-31
589,1835-08-29/1835-09-04
590,1835-09-26/1835-10-02
591,1835-10-24/1835-10-30
592,1835-11-28/1835-12-04
